id,parent_id/id,code_prefix,name
"account_group_hr_rrif",,"RRIF-2015","KONTNI PLAN"
"account_group_0","account_group_hr_rrif","0","POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA"
"account_group_00","account_group_0","00","POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL"
"account_group_01","account_group_0","01","NEMATERIJALNA IMOVINA"
"account_group_010","account_group_01","010","Izdatci za razvoj"
"account_group_011","account_group_01","011","Koncesije, patenti, licencije, robne i uslužne marke"
"account_group_012","account_group_01","012","Softver i ostala prava"
"account_group_0120","account_group_012","0120","Softwer"
"account_group_0121","account_group_012","0121","Nematerijalna dugotrajna prava"
"account_group_0122","account_group_012","0122","Ostala prava"
"account_group_013","account_group_01","013","Goodwill"
"account_group_014","account_group_01","014","Ostala nematerijalna imovina"
"account_group_015","account_group_01","015","Predujmovi za nabavu nematerijalne imovine"
"account_group_016","account_group_01","016","Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)"
"account_group_018","account_group_01","018","Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)"
"account_group_019","account_group_01","019","Akumulirana amortizacija nematerijalne imovine"
"account_group_02","account_group_0","02","MATERIJALNA IMOVINA","NEKRETNINE"
"account_group_020","account_group_02","020","Zemljišta"
"account_group_021","account_group_02","021","Zemljišna prava (višegodišnja)"
"account_group_023","account_group_02","023","Građevinski objekti (za vlastite potrebe)"
"account_group_024","account_group_02","024","Stanovi za vlastite zaposlenike"
"account_group_026","account_group_02","026","Predujmovi za nabavu nekretnina"
"account_group_027","account_group_02","027","Nekretnine u pripremi"
"account_group_028","account_group_02","028","Vrijednosno usklađenje nekretnina"
"account_group_029","account_group_02","029","Akumulirana amortizacija građevina"
"account_group_03","account_group_0","03","POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA"
"account_group_030","account_group_03","030","Postrojenja"
"account_group_031","account_group_03","031","Oprema"
"account_group_032","account_group_03","032","Alati, pogonski inventar i transportna imovina"
"account_group_0320","account_group_032","0320","Transportna imovina"
"account_group_0321","account_group_032","0321","Pokućstvo","inventar"
"account_group_033","account_group_03","033","Pretporez koji se ne može odbiti (kao dio vrijed. os. aut.)"
"account_group_034","account_group_03","034","Poljoprivredna oprema i mehanizacija"
"account_group_035","account_group_03","035","Ostala materijalna imovina"
"account_group_036","account_group_03","036","Predujmovi za materijalnu imovinu"
"account_group_037","account_group_03","037","Materijalna imovina u pripremi"
"account_group_038","account_group_03","038","Vrijednosno usklađenje postrojenja i opreme"
"account_group_039","account_group_03","039","Akumulirana amortizacija postrojenja i opreme"
"account_group_04","account_group_0","04","BIOLOŠKA IMOVINA"
"account_group_040","account_group_04","040","Biološka imovina","bilje","višegodišnji nasadi"
"account_group_041","account_group_04","041","Biološka imovina","životinje","osnovno stado"
"account_group_046","account_group_04","046","Predujmovi za biološku imovinu"
"account_group_047","account_group_04","047","Biološka imovina u pripremi"
"account_group_048","account_group_04","048","Vrijednosno usklađenje biološke imovine"
"account_group_049","account_group_04","049","Akumulirana amortizacija biološke imovine"
"account_group_05","account_group_0","05","ULAGANJA U NEKRETNINE"
"account_group_050","account_group_05","050","Ulaganja u nekretnine","zemljišta"
"account_group_051","account_group_05","051","Ulaganja u nekretnine","građevine"
"account_group_056","account_group_05","056","Predujmovi za ulaganja u nekretnine"
